group,yes,no,undecided
G1,94,6,0
G2,72,28,0
G3,89,11,0
G4,28,72,0
G1,93,7,0
G2,71,29,0
G3,88,12,0
G4,27,73,0
G1,93,6,1
G2,71,28,1
G3,88,11,1
G4,27,72,1
G1,11,89,0
G2,28,72,0
G3,17,83,0
G4,0,100,0
G1,10,90,0
G2,27,73,0
G3,16,84,0
G4,0,100,0
G1,10,89,1
G2,27,72,1
G3,16,83,1
G4,0,99,1
G1,0,100,0
G2,46,54,0
G3,6,94,0
G4,94,6,0
G1,1,99,0
G2,45,55,0
G3,5,95,0
G4,93,7,0
G1,1,98,1
G2,45,54,1
G3,5,94,1
G4,93,6,1
G1,11,39,50
G2,61,17,22
G3,50,11,39
G4,6,88,6
G1,10,40,50
G2,60,18,22
G3,49,12,39
G4,5,89,6
G1,10,39,51
G2,60,17,23
G3,49,11,40
G4,5,88,7
G1,33,17,50
G2,22,39,39
G3,55,28,17
G4,100,0,0
G1,32,18,50
G2,21,40,39
G3,54,29,17
G4,99,1,0
G1,32,17,51
G2,21,39,40
G3,54,28,18
G4,99,0,1
G1,22,78,0
G2,44,56,0
G3,50,50,0
G4,94,6,0
G1,21,79,0
G2,43,57,0
G3,49,51,0
G4,93,7,0
G1,21,78,1
G2,43,56,1
G3,49,50,1
G4,93,6,1
G1,0,100,0
G2,17,83,0
G3,6,94,0
G4,0,100,0
G1,1,99,0
G2,16,84,0
G3,5,95,0
G4,1,99,0
G1,1,98,1
G2,16,83,1
G3,5,94,1
G4,1,98,1
G1,0,100,0
G2,11,89,0
G3,11,89,0
G4,0,100,0
G1,0,100,0
G2,10,90,0
G3,10,90,0
G4,0,100,0
G1,0,99,1
G2,10,89,1
G3,10,89,1
G4,0,99,1
G1,61,39,0
G2,72,28,0
G3,83,17,0
G4,100,0,0
G1,60,40,0
G2,71,29,0
G3,82,18,0
G4,99,1,0
G1,60,39,1
G2,71,28,1
G3,82,17,1
G4,99,0,1
G1,0,100,0
G2,6,94,0
G3,0,100,0
G4,0,100,0
G1,1,99,0
G2,5,95,0
G3,1,99,0
G4,1,99,0
G1,1,98,1
G2,5,94,1
G3,1,98,1
G4,1,98,1
G1,100,0,0
G2,61,39,0
G3,94,6,0
G4,83,17,0
G1,99,1,0
G2,60,40,0
G3,93,7,0
G4,82,18,0
G1,99,0,1
G2,60,39,1
G3,93,6,1
G4,82,17,1
G1,100,0,0
G2,100,0,0
G3,100,0,0
G4,100,0,0
G1,99,1,0
G2,99,1,0
G3,99,1,0
G4,99,1,0
G1,99,0,1
G2,99,0,1
G3,99,0,1
G4,99,0,1
G1,89,11,0
G2,61,39,0
G3,89,11,0
G4,94,6,0
G1,88,12,0
G2,60,40,0
G3,88,12,0
G4,93,7,0
G1,88,11,1
G2,60,39,1
G3,88,11,1
G4,93,6,1
G1,100,0,0
G2,50,50,0
G3,94,6,0
G4,50,44,6
G1,99,1,0
G2,49,51,0
G3,93,7,0
G4,49,45,6
G1,99,0,1
G2,49,50,1
G3,93,6,1
G4,49,44,7
G1,55,39,6
G2,55,45,0
G3,27,56,17
G4,0,77,23
G1,56,38,6
G2,56,44,0
G3,28,55,17
G4,0,78,22
G1,56,37,7
G2,56,43,1
G3,28,54,18
G4,0,77,23
